Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Shounen Shoujo Hyouryuuki,7.34,952,4296,7409,"2,442",18,1,12,Finished,Feb  2006 to Jan  2007,[],[],"Furuya, Usamaru (Story & Art), Otsuichi (Story)",2,"[2, 0, 0]"
Clover no Kuni no Alice: Bloody Twins (Alice in the Country of Clover: Bloody Twins),7.34,968,4297,6725,"2,731",21,1,11,Finished,"Sep  5, 2009",[],[],"Fujimaru, Mamenosuke (Story & Art), QuinRose (Story)",1,"[0, 0, 1]"
Nurarihyon no Mago,7.34,1962,4298,5226,"3,630",18,Unknown,1,Finished,2006,"['Action', 'Adventure']",[],"Shiibashi, Hiroshi (Story & Art)",1,"[1, 0, 0]"
Shounen-tachi no Ita Natsu: Melody of Jenny,7.34,147,4299,24897,379,3,1,5,Finished,"Mar  21, 1995 to Aug  8, 1995",[],"['Historical', 'Military']","Hojo, Tsukasa (Story & Art)",0,"[0, 0, 0]"
Romance ni wa Hodotooi,7.34,377,4335,16778,783,3,1,6,Finished,"Dec  14, 2020 to Jun  14, 2021",[],[],Amamiya (Story & Art),0,"[0, 0, 0]"
Hotel Metsäpeura e Youkoso,7.34,177,4336,15198,918,8,Unknown,Unknown,Publishing,"Oct  15, 2020 to ?",[],[],"Fukuta, Seira (Story & Art)",0,"[0, 0, 0]"
The Legendary Moonlight Sculptor,7.34,1706,4337,3765,"5,216",35,Unknown,169,On Hiatus,"Feb  16, 2015 to Nov  30, 2020","['Action', 'Adventure', 'Fantasy']",[],"Kim, Tae-Hyung (Art), Nam, Heesung (Story), Shin C (Art), Park, Jeongyeol (Art)",3,"[1, 0, 2]"
I Stan the Prince,7.34,665,4338,6627,"2,784",28,Unknown,Unknown,Publishing,"Feb  17, 2020 to ?","['Comedy', 'Fantasy', 'Romance']",[],Jukseon (Story & Art),1,"[1, 0, 0]"
The Rewards of Marriage,7.34,637,4339,6628,"2,783",13,Unknown,Unknown,Publishing,"Jan  12, 2022 to ?","['Fantasy', 'Romance']","['Isekai', 'Reincarnation']","Choam (Story), Seochon (Art)",0,"[0, 0, 0]"
The Crow's Prince,7.34,1307,4340,4867,"3,934",40,Unknown,107,Finished,"Feb  18, 2022 to Nov  5, 2023","['Fantasy', 'Romance']","['Isekai', 'Reincarnation']","Silvestar (Story), Glee (Art)",3,"[3, 0, 0]"
The Grand Mudang Saga,7.34,1013,4341,5728,"3,274",14,Unknown,Unknown,Publishing,"Oct  31, 2020 to ?","['Action', 'Fantasy']","['Martial Arts', 'Reincarnation']","Eunyeol (Story), Hwaram (Art)",2,"[1, 0, 1]"
Questism,7.33,2105,4353,3286,"6,038",55,Unknown,Unknown,Publishing,"Oct  22, 2021 to ?","['Action', 'Supernatural']",[],"Yununi (Story), Taewan (Art)",1,"[1, 0, 0]"
My Daughter Is the Final Boss,7.34,1661,4342,3510,"5,610",19,Unknown,Unknown,Publishing,"Apr  14, 2022 to ?","['Action', 'Fantasy']","['Childcare', 'Time Travel']","Geulsseunya (Story), RK Studio (Art)",1,"[1, 0, 0]"
Castle,7.34,251,4343,14604,973,5,Unknown,120,Finished,"Nov  26, 2019 to Feb  15, 2022",[],"['Adult Cast', 'Organized Crime']",Jeong Yeon (Story & Art),0,"[0, 0, 0]"
