Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Genres,Author,Recommended,Mixed Feelings,Not Recommended,Release date,Completed date
The Horizon,8.67,38184,61,171,82470,4309,3,21,Finished,"['Adventure', 'Drama']",['Jeong Ji-Hoon'],48,7,0,2016-03-30,2016-07-21
Shinyaku Toaru Majutsu no Index (A Certain Magical Index NT),8.67,4774,62,1240,14887,1199,23,178,Finished,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural']","['Kamachi Kazuma', 'Haimura Kiyotaka']",8,0,0,2011-03-10,2019-07-10
Koten-bu Series,8.67,3238,63,995,17680,653,4,28,Publishing,"['Adventure', 'Mystery']",['Yonezawa Honobu'],5,0,1,2001-10-31,2023-12-11
Natsume Yuujinchou (Natsume's Book of Friends),8.66,10770,65,375,43095,2167,4,28,Publishing,"['Drama', 'Supernatural']",['Midorikawa Yuki'],5,1,0,2003-06-10,2023-12-11
 Series (Zaregoto),8.66,4046,66,746,23065,1167,4,28,Publishing,"['Action', 'Drama', 'Mystery', 'Supernatural']","['NISIO ISIN', 'Take']",8,1,0,2002-02-05,2023-12-11
Kimi no Suizou wo Tabetai (I Want to Eat Your Pancreas),8.66,2784,67,2915,6743,381,1,10,Finished,"['Drama', 'Romance']",['Sumino Yoru'],2,0,0,2015-06-17,2023-12-11
Bungou Stray Dogs: Beast (Bungo Stray Dogs: Beast),8.65,4519,68,1435,13261,690,4,22,Finished,"['Action', 'Supernatural']","['Asagiri Kafka', 'Hoshikawa Shiwasu']",2,0,0,2019-12-26,2022-01-26
ReLIFE,8.65,78907,69,60,158672,12078,15,238,Finished,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",['Yayoi Sou'],67,1,1,2013-10-12,2018-03-16
Overlord,8.65,21522,70,251,61393,3978,4,28,Publishing,"['Action', 'Fantasy', 'Supernatural']","['Maruyama Kugane', 'so-bin']",12,0,2,2012-07-30,2023-12-11
Golden Kamuy,8.64,23796,71,153,88684,5149,31,314,Finished,"['Action', 'Adventure', 'Award Winning']",['Noda Satoru'],25,2,0,2014-08-21,2022-04-28
Blue Period,8.64,34982,73,98,118778,8204,4,28,Publishing,"['Award Winning', 'Drama']",['Yamaguchi Tsubasa'],37,0,1,2017-06-24,2023-12-11
Violet Evergarden,8.64,5756,72,647,26644,742,2,13,Finished,"['Drama', 'Fantasy']","['Akatsuki Kana', 'Takase Akiko']",4,1,0,2015-12-25,2016-12-26
Seishun Buta Yarou Series (Rascal Does Not Dream),8.63,5258,74,696,24871,973,4,28,Publishing,"['Drama', 'Romance', 'Supernatural']","['Kamoshida Hajime', 'Mizoguchi Keiji']",2,1,0,2014-04-10,2023-12-11
Tian Guan Cifu (Heaven Official's Blessing),8.63,3138,75,1936,9793,751,4,28,Publishing,"['Action', 'Adventure', 'Boys Love', 'Drama', 'Supernatural']","['Mo Xiang Tong Xiu', 'STARember']",2,1,0,2019-10-19,2023-12-11
"""Oshi no Ko"" ([Oshi No Ko])",8.63,63835,76,57,161251,12778,4,28,Publishing,"['Drama', 'Supernatural']","['Akasaka Aka', 'Yokoyari Mengo']",67,18,13,2020-04-23,2023-12-11
Gintama,8.63,39056,77,144,93523,8270,77,709,Finished,"['Action', 'Comedy', 'Sci-Fi']",['Sorachi Hideaki'],25,1,1,2003-12-08,2019-06-20
Aria,8.63,9939,78,448,37046,2552,12,67,Finished,"['Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Slice of Life']",['Amano Kozue'],17,1,1,2002-02-28,2008-02-29
Pluto (Pluto: Urasawa x Tezuka),8.63,42925,79,104,116183,5301,8,65,Finished,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']","['Urasawa Naoki', 'Tezuka Osamu']",32,4,0,2003-09-09,2009-04-01
Kono Subarashii Sekai ni Shukufuku wo! (Konosuba: God's Blessing on This Wonderful World!),8.62,16571,80,302,51795,2818,17,127,Finished,"['Adventure', 'Comedy', 'Fantasy']","['Mishima Kurone', 'Akatsuki Natsume']",14,1,0,2013-10-01,2020-05-01
Veil,8.62,1520,82,2780,7070,362,4,28,Publishing,"['Drama', 'Romance', 'Slice of Life']",['Fukuda Ikumi'],2,0,0,2019-11-15,2023-12-11
Banana Fish,8.61,14006,84,289,54392,2303,19,110,Finished,"['Action', 'Adventure', 'Drama']",['Yoshida Akimi'],13,1,1,1985-04-13,1994-03-12
Hi no Tori (1967) (Phoenix),8.61,3984,85,813,21389,728,16,19,Finished,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural']",['Tezuka Osamu'],7,0,0,1966-12-20,1988-02-01
Suzumiya Haruhi Series,8.61,11682,86,445,37375,1974,4,28,Publishing,"['Comedy', 'Drama', 'Sci-Fi', 'Supernatural']","['Tanigawa Nagaru', 'Itou Noizi']",9,0,0,2003-06-06,2023-12-11
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.61,715,87,6705,2742,357,5,21,Finished,"['Drama', 'Horror', 'Mystery', 'Supernatural']","['Hanada Keika', 'Moyataro']",1,0,0,2014-08-08,2016-01-14
Monogatari Series: Monster Season,8.61,1089,88,2873,6830,91,6,28,Finished,"['Comedy', 'Mystery', 'Supernatural']","['NISIO ISIN', 'VOFAN']",2,0,0,2017-07-20,2021-08-19
Mob Psycho 100,8.62,45146,81,109,113256,5599,16,109,Finished,"['Action', 'Award Winning', 'Comedy', 'Supernatural']",['ONE'],12,1,1,2012-04-18,2017-12-22
Omniscient Reader,8.61,2816,89,3108,6330,891,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']",['sing N song'],9,0,0,2022-01-20,2023-12-11
Kaoru Hana wa Rin to Saku (The Fragrant Flower Blooms with Dignity),8.6,12847,90,394,41521,1847,4,28,Publishing,"['Drama', 'Romance']",['Mikami Saka'],24,4,2,2021-10-21,2023-12-11
Ao Ashi,8.6,11142,93,632,27279,1534,4,28,Publishing,"['Award Winning', 'Sports']","['Kobayashi Yuugo', 'Ueno Naohiko']",17,0,1,2015-01-05,2023-12-11
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch (Umineko WHEN THEY CRY Episode 7: Requiem of the Golden Witch),8.59,5014,94,1556,12395,334,9,48,Finished,"['Drama', 'Mystery', 'Supernatural', 'Suspense']","['Mizuno Eita', 'Ryukishi07']",2,0,0,2011-04-13,2015-03-12
Shigatsu wa Kimi no Uso (Your Lie in April),8.59,33268,95,189,78433,2648,11,44,Finished,"['Award Winning', 'Drama', 'Romance']",['Arakawa Naoshi'],12,4,0,2011-04-06,2015-02-06
Shinseiki Evangelion (Neon Genesis Evangelion),8.58,48228,96,111,109846,7539,14,97,Finished,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']",['Sadamoto Yoshiyuki'],20,2,0,1994-12-26,2013-06-04
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai (JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable),8.57,59954,97,131,100381,6447,18,174,Finished,"['Action', 'Supernatural']",['Araki Hirohiko'],20,0,1,1992-04-21,1995-11-21
Pandora Hearts,8.57,60178,98,49,171019,16476,24,107,Finished,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural']",['Mochizuki Jun'],87,4,2,2006-05-18,2015-03-18
Chihayafuru,8.57,13458,99,364,44443,2583,50,252,Finished,"['Award Winning', 'Drama']",['Suetsugu Yuki'],8,0,0,2007-12-28,2022-08-01
Wind Breaker,8.57,16992,100,341,46430,2877,4,28,Publishing,"['Action', 'Drama', 'Sports']",['Jo Yongseok'],10,0,0,2013-12-15,2023-12-11
Skip to Loafer (Skip and Loafer),8.57,7646,102,530,31608,1537,4,28,Publishing,"['Award Winning', 'Drama']",['Takamatsu Misaki'],13,0,0,2018-08-25,2023-12-11
