Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Genres,Author,Recommended,Mixed Feelings,Not Recommended,Release date,Completed date
Rokujou Hitoma no Majo Life (Witch Life in a Micro Room),7.45,260,3321,15744,866,5,5,27,Finished,"['Fantasy', 'Slice of Life']",['Akitaka'],1,0,0,2020-02-22,2022-06-22
Mr. Mallow Blue,7.45,339,3322,9776,1720,28,4,28,Publishing,"['Drama', 'Mystery']",['Samamiya Akaza'],1,0,0,2019-11-22,2023-12-11
86: Operation High School,7.45,908,3323,7447,2428,31,2,16,Finished,"['Comedy', 'Romance', 'Slice of Life']","['Asato Asato', 'Somemiya Suzume']",3,1,0,2020-06-27,2021-08-27
Bungou Stray Dogs Koushiki Anthology: Akatsuki (Bungou Stray Dogs Official Anthology: Akatsuki),7.45,145,3324,13036,1150,14,1,14,Finished,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']","['Hashino Saru', 'Kino Hinoki', 'Hideki', 'Nykken', 'Kanai Neco', 'Adachi Imaru', 'togekinoko', 'Toriyasu', 'Keigen Asuka', 'otakumi']",0,0,0,2019-04-04,2023-12-11
Jahy-sama wa Kujikenai! (The Great Jahy Will Not Be Defeated!),7.43,9503,3327,418,39420,689,4,28,Publishing,"['Comedy', 'Supernatural']",['Konbu Wakame'],5,1,0,2017-08-22,2023-12-11
Satoko to Nada (Satoko and Nada),7.44,469,3328,9557,1765,16,4,28,Finished,"['Comedy', 'Slice of Life']",['Yupechika'],1,0,0,2017-01-24,2018-11-30
Kakao 79%,7.44,2221,3329,2402,8083,108,4,28,Publishing,"['Comedy', 'Romance']",['Aoi Umi'],3,2,1,2015-05-02,2023-12-11
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (Magia Record: Puella Magi Madoka Magica Side Story),7.44,332,3332,9869,1702,30,4,28,Publishing,"['Drama', 'Suspense']","['Magica Quartet', 'Fuji Fujino']",1,0,0,2018-08-24,2023-12-11
Bakemono to Kedamono (Monster and the Beast),7.44,580,3333,8258,2130,40,4,28,Publishing,"['Boys Love', 'Fantasy']",['Renji'],1,0,0,2018-03-31,2023-12-11
Yuri de Naru♥Espoir (Yuri Espoir),7.44,161,3334,15001,937,23,4,28,Publishing,"['Comedy', 'Drama', 'Girls Love', 'Slice of Life']",['Naoi Mai'],2,0,0,2019-03-20,2023-12-11
Saihate no Solte (World End Solte),7.43,255,3456,9464,1788,3,4,28,Publishing,"['Adventure', 'Drama', 'Fantasy']",['Mizukami Satoshi'],1,0,0,2020-01-20,2023-12-11
Parasol Doumei (A Parasol Alliance),7.44,1978,3337,5609,3360,28,4,1,Finished,"['Comedy', 'Romance']",['Miura Kouji'],1,0,0,2020-04-30,2023-12-11
Otonari ni Ginga (A Galaxy Next Door),7.44,1585,3338,2156,8913,48,6,37,Finished,"['Comedy', 'Romance', 'Supernatural']",['Amagakure Gido'],4,0,0,2020-04-07,2023-05-06
"Goodbye, In-Law!",7.44,515,3339,11765,1328,13,8,81,Finished,"['Comedy', 'Drama', 'Romance']",['Gyogyo Park'],0,1,0,2018-09-17,2020-04-20
Genjitsu de Love Comedy Dekinai to Dare ga Kimeta? (Who Decided That I Can't Do Romantic Comedy in Reality?),7.44,121,3340,18329,675,17,6,90,Finished,"['Comedy', 'Romance']","['Hajikano Sou', 'Shiina Kuro']",1,0,0,2020-07-17,2022-07-20
Fangkai Nage Nuwu (Release That Witch),7.44,1634,3342,4098,4781,91,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']","['Er Mu', 'Zhi Hua Wenhua']",3,0,0,2019-01-24,2023-12-11
Mirai Nikki,7.44,634,3380,7651,2342,100,2,17,Finished,"['Action', 'Mystery', 'Supernatural', 'Suspense']","['Esuno Sakae', 'Itou Nobuki']",0,0,0,2012-02-01,2012-05-01
Mattaku Saikin no Tantei to Kitara,7.44,791,3381,5068,3760,19,4,28,Publishing,"['Comedy', 'Mystery']",['Igarashi Masakuni'],2,0,0,2016-04-27,2023-12-11
"Nidome no Natsu, Nidoto Aenai Kimi",7.44,2917,3383,3028,6491,82,2,10,Finished,"['Drama', 'Romance']","['Akagi Hirotaka', 'Minamoto Motomi']",3,0,0,2016-12-12,2017-09-12
Kono Yuusha ga Ore Tueee Kuse ni Shinchou sugiru (The Hero Is Overpowered But Overly Cautious),7.44,750,3384,4512,4270,40,7,157,On Hiatus,"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Toyota Saori', 'Tuchihi Light']",2,0,1,2017-02-10,2019-12-10
Koi wo Shiranai Bokutachi wa (We Don't Know Love Yet.),7.44,1662,3386,3068,6422,93,11,45,Finished,"['Romance', 'Slice of Life']",['Mizuno Minami'],3,1,0,2017-06-13,2021-05-13
Akame ga Kill! Zero,7.44,9802,3343,554,30859,550,10,60,Finished,"['Action', 'Drama', 'Fantasy']","['Takahiro', 'Toru Kei']",6,1,1,2013-10-25,2019-01-25
Sumika Sumire,7.44,809,3344,5581,3388,13,11,49,Finished,"['Romance', 'Supernatural']",['Takanashi Mitsuba'],1,0,0,2013-08-28,2018-04-28
Kidou Senshi Gundam 0083: Rebellion,7.44,137,3345,20616,546,9,16,93,Finished,"['Action', 'Sci-Fi']","['Yatate Hajime', 'Masato Natsumoto']",0,0,0,2013-06-26,2021-02-26
Oshiete! Galko-chan (Please Tell Me! Galko-chan),7.44,1235,3346,3045,6453,125,5,118,On Hiatus,"['Comedy', 'Slice of Life']",['Suzuki Kenya'],1,0,0,2014-06-27,2021-06-20
Joukamachi no Dandelion,7.44,795,3347,4560,4229,36,4,28,Publishing,"['Action', 'Comedy', 'Slice of Life']",['Kasuga Ayumu'],0,0,0,2012-02-16,2023-12-11
Yuuki Yuuna wa Yuusha de Aru,7.44,609,3348,6460,2870,11,5,30,Finished,"['Fantasy', 'Slice of Life']","['Takahiro', 'Kanno Touko']",0,0,1,2014-12-26,2018-08-30
Pink Lady,7.44,1367,3387,4429,4347,24,6,78,Finished,"['Romance', 'Slice of Life']","['Woo Yeong-Wook', 'Suna']",3,0,0,2007-05-02,2009-02-23
Ookami-san Series,7.44,217,3388,7594,2368,26,13,28,Finished,"['Comedy', 'Drama', 'Romance']","['Okita Masashi', 'Unaji']",0,0,0,2006-08-10,2017-04-08
Hanazakari no Kimitachi e: Tribute,7.44,264,3389,14259,1013,9,1,6,Finished,"['Comedy', 'Drama', 'Romance']","['Furumiya Kazuko', 'Morie Satoshi', 'Miyuki Mitsubachi', 'Igari Soyoko', 'Fujitani Touko', 'Eiri Kaname', 'Okabe Asagi']",0,0,0,2009-08-05,2023-12-11
Shin Kidou Senki Gundam Wing: Endless Waltz - Haisha-tachi no Eikou (Mobile Suit Gundam Wing: Glory of the Losers),7.44,272,3391,15102,926,21,14,85,Finished,"['Action', 'Drama', 'Sci-Fi']","['Sumisawa Katsuyuki', 'Ogasawara Tomofumi']",0,0,0,2010-09-25,2017-11-25
Sayonara Piano Sonata,7.44,3415,3392,2416,8052,66,3,16,Finished,"['Drama', 'Romance', 'Slice of Life']","['Akasaka Aka', 'Sugii Hikaru']",5,0,0,2011-02-26,2012-07-27
Akuma ni Itsukushimi no Te wo,7.44,3128,3393,3568,5514,26,4,1,Finished,"['Drama', 'Fantasy', 'Romance']",['Takagi Shigeyoshi'],2,0,0,2011-06-28,2023-12-11
Corset ni Tsubasa,7.44,221,3394,16127,831,5,10,49,Finished,"['Drama', 'Romance']",['Moto Naoko'],1,0,0,2007-08-06,2011-11-05
Guilty Crown,7.44,1385,3395,2934,6696,98,7,26,Finished,"['Action', 'Drama', 'Sci-Fi']","['Mizuki Shion', 'Miyagi Yousuke']",0,0,0,2011-10-12,2013-11-12
Hitsugi no Chaika,7.44,392,3396,7002,2604,20,12,60,Finished,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']","['Sakaki Ichirou', 'Namaniku ATK']",0,0,0,2010-12-18,2015-03-20
Lindbergh,7.44,374,3397,10036,1662,26,8,48,Finished,"['Adventure', 'Fantasy']",['Ahndongshik'],1,0,0,2009-05-12,2013-04-12
ReCollection,7.44,421,3401,8062,2196,3,4,28,Publishing,"['Fantasy', 'Mystery']",['Takano Ichigo'],0,0,0,2013-10-25,2023-12-11
666 Satan (O-Parts Hunter),7.44,16502,3349,481,34297,1039,19,78,Finished,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",['Kishimoto Seishi'],9,1,3,2001-08-11,2007-12-12
Kidou Senshi Gundam: École du Ciel (Mobile Suit Gundam: École du Ciel),7.44,491,3350,9963,1678,36,12,68,On Hiatus,"['Action', 'Sci-Fi']",['Mikimoto Haruhiko'],0,0,0,2001-12-18,2011-02-26
Kingdom Hearts: Chain of Memories,7.44,7112,3351,1452,13123,203,2,13,Finished,"['Adventure', 'Fantasy']","['Amano Shiro', 'Nomura Tetsuya']",3,0,2,2005-03-12,2006-03-11
 no Tsuki (Yurara),7.44,2174,3353,4204,4629,43,5,20,Finished,"['Mystery', 'Supernatural']",['Shiomi Chika'],1,1,0,2003-02-19,2005-01-01
Saboten no Himitsu (Cactus's Secret),7.44,4201,3355,2319,8345,50,4,20,Finished,"['Comedy', 'Romance']",['Haruta Nana'],5,0,0,2003-12-29,2005-04-30
Eensy-Weensy Monster,7.44,1777,3357,5684,3301,21,2,12,Finished,"['Comedy', 'Fantasy']",['Tsuda Masami'],2,0,0,2006-10-24,2007-09-22
Takeru ~ Opera Susanoh Sword of the Devil (Takeru - Opera Susanoh Sword of the Devil),7.44,449,3358,11159,1428,18,4,19,Finished,"['Action', 'Adventure', 'Fantasy']","['Nakashima Kazuki', 'Karakara Kemuri']",0,0,0,2005-07-30,2007-01-30
Nagatachou Strawberry,7.44,2487,3359,3657,5373,24,5,21,Finished,"['Drama', 'Romance']",['Sakai Mayu'],2,0,0,2002-12-28,2004-09-03
Helter Skelter (Helter Skelter: Fashion Unfriendly),7.44,7174,3360,966,18124,477,1,9,Finished,"['Award Winning', 'Horror']",['Okazaki Kyoko'],10,2,2,1995-06-08,1996-03-08
Hitsuji no Namida (Tears of a Lamb),7.44,722,3361,9357,1813,7,7,42,Finished,"['Comedy', 'Drama', 'Romance']",['Hidaka Banri'],0,0,0,2002-04-19,2004-03-19
: Tsuki no Hikari (Astral Project),7.44,694,3362,8643,2006,31,4,36,Finished,"['Drama', 'Mystery', 'Supernatural']","['Caribu Marley', 'Takeya Syuji']",0,0,0,2004-03-12,2007-02-10
Hanamaru Youchien (Hanamaru Kindergarten),7.44,1031,3367,5346,3540,28,11,102,Finished,"['Comedy', 'Slice of Life']",['Yuuto'],3,0,0,2006-09-01,2011-10-21
Rurouni Kenshin: Haru ni Sakura,7.44,2818,3368,3759,5221,30,4,1,Finished,"['Action', 'Adventure', 'Comedy']",['Watsuki Nobuhiro'],0,1,0,1999-12-11,2023-12-11
Aozora Yell (Yell for the Blue Sky),7.44,1077,3371,4092,4786,21,19,76,Finished,"['Drama', 'Romance', 'Sports']",['Kawahara Kazune'],3,0,0,2008-08-11,2015-10-13
Dante Shinkyoku,7.44,1121,3375,5196,3652,34,3,28,Finished,"['Drama', 'Mystery', 'Supernatural']","['Nagai Go', 'Alighieri Dante']",1,0,0,1994-09-19,1995-10-19
Gokujou Twins,7.44,2990,3376,3373,5882,12,1,5,Finished,"['Comedy', 'Romance']",['Shiiba Nana'],1,0,0,2009-05-30,2023-12-11
AR∀GO: London Shikei Tokushu Hanzai Sousakan,7.44,3065,3379,2533,7712,82,9,85,Finished,"['Action', 'Mystery', 'Supernatural']",['Arai Takahiro'],3,0,0,2009-12-22,2011-09-21
Amagami: Precious Diary,7.43,1798,3452,3929,5000,45,5,42,Finished,"['Romance', 'Ecchi']","['Shinonome Tarou', 'Enterbrain']",1,0,0,2009-11-27,2012-03-29
I Am the Real One,7.44,1495,3402,3663,5368,22,4,28,Publishing,"['Fantasy', 'Romance']","['Samwol', 'Yuun']",0,2,0,2020-09-30,2023-12-11
Parallel City,7.44,222,3403,18141,686,16,4,28,Publishing,"['Action', 'Sci-Fi', 'Suspense']",['Goda'],0,0,0,2019-07-06,2023-12-11
Elixir of the Sun,7.44,318,3404,13073,1146,15,4,28,Publishing,"['Drama', 'Fantasy', 'Romance']","['Solddam', 'Song Yi']",0,0,0,2020-11-22,2023-12-11
Mythic Item Obtained,7.44,2897,3405,2217,8704,57,4,28,Publishing,"['Action', 'Fantasy']","['Jeong Seonyul', 'Hess']",2,0,0,2022-06-12,2023-12-11
Furitsumore Kodoku na Shi yo,7.43,254,3407,7511,2403,7,4,28,Publishing,"['Mystery', 'Suspense']","['Inoryuu Hajime', 'Itou Shouta']",1,0,0,2021-08-28,2023-12-11
"Kanojo ga Senpai ni NTR-reta node, Senpai no Kanojo wo NTR-masu",7.43,393,3409,9397,1805,62,4,28,Publishing,"['Comedy', 'Romance']","['Kagawa Ichigo', 'Shinden Mihiro']",2,0,0,2021-12-01,2023-12-11
A Wicked Tale of Cinderella's Stepmom,7.43,741,3410,6871,2669,17,4,28,Publishing,"['Fantasy', 'Romance']","['Kiarne', 'Sunset']",1,0,1,2020-09-26,2023-12-11
Heavenly Demon Reborn!,7.43,1604,3411,4160,4696,51,4,28,Publishing,"['Action', 'Fantasy']","['Ilhwang', 'Gomguck']",1,0,1,2018-08-15,2023-12-11
Child of the Sheath,7.43,437,3413,10678,1523,21,4,28,Publishing,"['Action', 'Adventure', 'Fantasy']","['Yang Kyung-il', 'Kim Hyung Min']",1,0,0,2020-02-01,2023-12-11
Mahoutsukai to Aka no Pilgrim (Wizard and Red Pilgrim),7.43,313,3415,15582,882,10,2,10,Finished,"['Adventure', 'Fantasy']",['Shida'],0,0,0,2022-03-30,2023-04-26
Not Your Typical Reincarnation Story,7.45,347,3297,11370,1395,15,4,28,Publishing,"['Fantasy', 'Romance']","['Lemon Gaeguri', 'Ajin']",0,1,0,2023-04-04,2023-12-11
Guimi Zhi Zhu (Lord of Mysteries),7.43,179,3416,17768,710,98,18,366,Finished,"['Action', 'Mystery', 'Supernatural', 'Suspense']",['Ai Qianshui de Wuzei'],2,0,0,2020-05-01,2023-08-01
Shinozaki-san Ki wo Ota Shika ni!,7.43,2394,3462,2627,7472,124,9,48,Finished,"['Comedy', 'Girls Love']",['Hikawa Shou'],3,1,0,2012-06-06,2017-06-21
Toaru Majutsu no Index Gaiden: Toaru Kagaku no Accelerator (A Certain Scientific Accelerator),7.43,3309,3463,1807,10518,267,12,64,Finished,"['Fantasy', 'Supernatural']","['Kamachi Kazuma', 'Yamaji Arata']",1,1,0,2013-12-27,2020-07-27
Mahouka Koukou no Rettousei: Yokohama Souran-hen,7.43,1079,3464,4462,4323,14,5,24,Finished,"['Action', 'Drama', 'Sci-Fi']","['Amou Gin', 'Satou Tsutomu']",0,0,0,2013-10-18,2015-09-18
Fuuka,7.43,20117,3466,334,47212,1655,20,204,Finished,"['Drama', 'Romance', 'Ecchi']",['Seo Kouji'],36,3,7,2014-02-12,2018-04-04
Brother Auto Spot,7.43,1190,3467,7852,2267,16,1,6,Finished,"['Boys Love', 'Romance', 'Slice of Life']",['Noichi Mikuro'],1,0,0,2012-10-30,2013-06-20
Nejimaki Seirei Senki: Tenkyou no Alderamin,7.43,2916,3468,2432,8003,44,7,32,Finished,"['Action', 'Fantasy']","['Kawakami Taiki', 'Uno Bokuto']",0,3,1,2014-05-27,2017-05-27
Majo no Geboku to Maou no Tsuno (The Witch's Servant and the Demon Lord's Horns),7.43,411,3469,8470,2063,25,16,94,Finished,"['Comedy', 'Fantasy']",['Mochi'],4,0,0,2014-04-12,2021-12-10
Shigatsu wa Kimi no Uso: 6-nin no Études (Your Lie in April: A Six-Person Etude),7.43,406,3470,9458,1788,16,1,6,Finished,"['Drama', 'Romance', 'Slice of Life']","['Arakawa Naoshi', 'Tokiumi Yui']",0,1,0,2014-11-17,2023-12-11
Kuma Kuma Kuma Bear,7.44,3255,3330,1808,10502,176,4,28,Publishing,"['Action', 'Comedy', 'Fantasy']","['Kumanano', 'Sergei']",1,1,0,2018-03-28,2023-12-11
Hino-san no Baka,7.43,2852,3453,2382,8140,130,4,28,Publishing,"['Comedy', 'Girls Love']",['Kinniku☆Tarou'],3,2,2,2017-10-30,2023-12-11
Batuque,7.43,1057,3455,2943,6682,53,4,28,Publishing,"['Action', 'Drama']",['Sako Toshio'],2,0,1,2018-07-05,2023-12-11
Sword Art Online: Progressive - Kuraki Yuuyami no Scherzo (Sword Art Online Progressive Scherzo of Deep Night),7.43,291,3457,12420,1238,4,3,20,Finished,"['Action', 'Fantasy', 'Romance']","['Kawahara Reki', 'Puyocha']",0,0,0,2020-01-30,2021-11-30
Boku no Tsuma wa Kanjou ga Nai (My Wife Has No Emotion),7.43,1490,3459,3701,5321,87,4,28,Publishing,"['Comedy', 'Romance', 'Sci-Fi', 'Slice of Life']",['Sugiura Jiro'],4,1,0,2019-08-05,2023-12-11
Hayaku Shitai Futari (Let's Do It Already!),7.43,2353,3460,2011,9417,99,9,54,Finished,"['Comedy', 'Romance']",['Kusaka Aki'],2,2,0,2020-05-20,2022-11-18
Tendou-ke Monogatari (Tales of the Tendo Family),7.43,809,3486,5470,3451,35,4,28,Publishing,"['Drama', 'Romance']",['Saitou Ken'],1,0,0,2014-08-09,2023-12-11
Kekkon shitemo Koishiteru (I'm in love with you forever),7.43,1934,3489,3163,6242,24,3,20,Finished,"['Romance', 'Slice of Life']","['shin5', 'Shirako']",1,0,0,2015-08-27,2017-03-10
Final Fantasy: Lost Stranger (Final Fantasy Lost Stranger),7.43,861,3491,5842,3206,64,4,28,Publishing,"['Fantasy', 'Sci-Fi']","['Minase Hazuki', 'Kameya Itsuki']",0,1,0,2017-07-12,2023-12-11
Anata to Taberu Shiawase wo: Maki to Hanazawa,7.43,164,3492,20945,530,15,2,12,Finished,"['Boys Love', 'Slice of Life']",['Nanoka'],0,0,0,2015-08-25,2020-09-26
Wish,7.43,7198,3417,1365,13787,285,4,26,Finished,"['Fantasy', 'Romance', 'Supernatural']",['CLAMP'],5,0,0,1995-10-06,1998-06-06
Vampire Knight,7.43,50413,3420,141,95946,5901,19,102,Finished,"['Drama', 'Mystery', 'Romance', 'Supernatural']",['Hino Matsuri'],31,14,6,2004-11-24,2013-05-24
Blood+ Adagio (Blood+: Adagio),7.43,1671,3422,5148,3697,30,2,8,Finished,"['Horror', 'Mystery', 'Romance', 'Supernatural']",['Suekane Kumiko'],2,0,0,2005-07-08,2006-10-10
Level E,7.43,2916,3424,2372,8192,100,3,16,Finished,"['Comedy', 'Sci-Fi']",['Togashi Yoshihiro'],2,1,0,1995-09-19,1996-12-03
Sensei!,7.43,717,3426,8608,2018,29,20,81,Finished,"['Drama', 'Romance', 'Slice of Life']",['Kawahara Kazune'],2,0,0,1996-09-13,2003-07-12
Kyuukyoku!! Hentai Kamen,7.43,1479,3427,4989,3827,71,6,60,Finished,"['Comedy', 'Ecchi']",['Ando Keishuu'],3,0,0,1992-09-22,1993-10-19
Godhand Teru,7.43,378,3429,12368,1245,4,62,478,Finished,"['Adventure', 'Comedy', 'Drama']",['Yamamoto Kazuki'],1,0,0,2000-07-12,2012-04-11
A Kiss to the Prince,7.43,3505,3431,2562,7641,70,5,22,Finished,"['Comedy', 'Drama', 'Romance']",['Kim Hee Eun'],4,0,0,2006-08-01,2007-10-31
Nicoichi,7.43,642,3432,8172,2158,10,10,120,Finished,"['Comedy', 'Romance', 'Slice of Life']",['Kindaichi Renjuurou'],1,0,0,2004-12-03,2012-01-20
Watashitachi no Tamura-kun (Our Dear Tamura-kun),7.43,3876,3435,2405,8072,73,4,24,Finished,"['Comedy', 'Drama', 'Romance', 'Ecchi']","['Takemiya Yuyuko', 'Kurafuji Sachi']",6,0,0,2006-05-27,2008-02-27
Shuffle: Tick! Tack!,7.43,318,3436,15471,892,6,1,10,Finished,"['Comedy', 'Romance']","['Kusaka Shiroi', 'Navel']",1,0,0,2006-01-26,2007-02-26
Hikari no Machi,7.43,8209,3437,947,18525,162,1,9,Finished,"['Drama', 'Slice of Life']",['Asano Inio'],3,0,1,2004-04-19,2005-01-19
Koutarou Makaritooru! L,7.43,109,3439,28026,292,2,8,28,On Hiatus,"['Action', 'Comedy', 'Romance', 'Ecchi']",['Hiruta Tatsuya'],1,0,0,2001-05-16,2004-07-20
Mouryou no Hako,7.43,528,3440,7695,2329,15,5,10,Finished,"['Horror', 'Mystery', 'Supernatural']","['Shimizu Aki', 'Kyougoku Natsuhiko']",0,0,0,2007-08-22,2010-04-22
Gekkou Jourei,7.43,236,3445,11794,1323,21,29,286,Finished,"['Action', 'Comedy', 'Fantasy']",['Fujita Kazuhiro'],0,0,0,2008-03-26,2014-04-09
Watashi ni xx Shinasai! (Missions of Love),7.43,25073,3447,258,59620,1533,19,82,Finished,"['Award Winning', 'Comedy', 'Romance']",['Tooyama Ema'],20,12,13,2009-05-02,2015-09-03
Are You Alice?,7.43,5488,3448,724,23806,476,12,74,Finished,"['Action', 'Adventure', 'Fantasy', 'Mystery']","['Katagiri Ikumi', 'Ninomiya Ai']",2,1,0,2009-05-28,2015-06-27
Mishounen Produce,7.43,5540,3449,1534,12525,57,4,22,Finished,"['Comedy', 'Romance']",['Ichinose Kaoru'],3,0,0,2008-11-22,2011-01-24
Kentou Ankokuden Cestvs,7.43,742,3451,6503,2846,25,15,154,Finished,"['Action', 'Drama']",['Wazarai Shizuya'],2,0,0,1997-11-28,2009-03-13
Denpa-teki na Kanojo,7.43,280,3472,5210,3644,15,3,21,Finished,"['Mystery', 'Suspense']","['Katayama Kentarou', 'Yamamoto Yamato']",1,0,0,2004-09-22,2005-07-22
Kidou Senshi Gundam Unicorn: Bande Dessinee,7.43,143,3473,19777,591,1,17,78,Finished,"['Drama', 'Sci-Fi']","['Fukui Harutoshi', 'Oomori Kouzou']",0,0,0,2010-01-26,2016-12-26
Tokyo ESP,7.43,5961,3474,872,19943,218,16,77,Finished,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",['Segawa Hajime'],4,0,0,2010-02-26,2016-07-26
Love Plus: Rinko Days,7.43,3669,3475,2945,6681,35,2,11,Finished,"['Comedy', 'Romance']",['Seo Kouji'],2,0,0,2010-04-09,2011-12-09
Denpa Onna to Seishun Otoko,7.43,302,3477,7585,2372,26,9,28,Finished,"['Comedy', 'Romance', 'Sci-Fi', 'Slice of Life']","['Iruma Hitoma', 'Buriki']",0,0,0,2009-01-10,2011-04-10
Dragon Crisis!,7.43,205,3478,11494,1374,11,13,86,Finished,"['Action', 'Romance']","['Kizaki Kaya', 'Akata Itsuki']",0,0,0,2007-01-25,2011-03-25
Bokura no☆Hikari Club,7.43,2503,3479,3454,5710,84,2,12,Finished,"['Drama', 'Horror']",['Furuya Usamaru'],3,0,1,2011-04-15,2012-03-15
Kurogane,7.43,7465,3481,1221,15032,101,8,70,Finished,"['Action', 'Supernatural']",['Ikezawa Haruto'],6,0,0,2011-09-05,2013-01-28
Hana no Saku Koro,7.43,434,3482,9121,1868,8,4,28,Publishing,"['Boys Love', 'Drama', 'Supernatural']",['Hayakawa Nojiko'],0,0,0,2011-05-23,2023-12-11
Uwagaki,7.43,4093,3483,2376,8155,73,4,21,Finished,"['Comedy', 'Romance', 'Sci-Fi']",['Yasohachi Ryou'],1,0,0,2009-06-15,2012-10-15
Phenomeno,7.43,205,3484,7763,2301,23,6,25,Finished,"['Horror', 'Mystery', 'Supernatural']","['Abe Yoshitoshi', 'Ninomae Hajime']",1,0,0,2012-01-24,2015-06-16
GJ-bu,7.43,218,3485,11678,1341,13,9,324,Finished,"['Comedy', 'Slice of Life']","['Araki Shin', 'Aruya']",0,0,0,2010-03-18,2012-03-16
Amagami: Love Goes On!,7.42,1501,3554,4780,4013,33,3,22,Finished,"['Romance', 'Ecchi']","['Enterbrain', 'Kamino Ryuya']",0,0,0,2010-01-27,2014-01-27
Junketsu + Kareshi (He's My Only Vampire),7.42,3219,3557,1562,12325,123,10,47,Finished,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",['Shouoto Aya'],2,1,3,2010-07-28,2014-09-27
Sugar*Soldier,7.42,2755,3559,2123,9064,108,10,61,Finished,"['Comedy', 'Romance']",['Sakai Mayu'],2,1,0,2011-08-03,2015-06-03
Shiro Ali,7.42,736,3560,6348,2924,41,10,65,Finished,"['Comedy', 'Fantasy']",['Pepu'],2,0,1,2010-05-22,2016-06-22
"Koyoi, Kimi to Kiss no Chigiri wo (The Fox's Kiss)",7.42,1439,3563,3902,5026,27,3,15,Finished,"['Fantasy', 'Romance']",['Aikawa Saki'],0,0,0,2012-01-06,2014-05-02
Peak,7.42,643,3564,5355,3529,30,7,45,Finished,"['Action', 'Drama']","['Hong Seong-su', 'Im Gang-hyeok']",1,0,0,2011-04-20,2014-11-19
Saenai Heroine no Sodatekata (How to Raise a Boring Girlfriend),7.42,1853,3567,2572,7618,78,8,42,Finished,"['Comedy', 'Drama', 'Romance']","['Moriki Takeshi', 'Maruto Fumiaki']",1,0,0,2013-01-09,2016-08-09
Samenai Machi no Kissaten,7.42,399,3505,10870,1484,13,2,40,Finished,"['Fantasy', 'Gourmet', 'Slice of Life']",['Hasha'],1,0,0,2015-05-28,2019-09-26
"Seibetsu ""Mona Lisa"" no Kimi e. (Just Like Mona Lisa)",7.42,1170,3506,4285,4516,68,10,53,Finished,"['Drama', 'Romance']",['Yoshimura Tsumuji'],7,0,0,2018-05-14,2022-12-05
Masamune-kun no Revenge 0 (Masamune-kun's Revenge 0),7.41,2947,3615,3754,5232,24,1,7,Finished,"['Comedy', 'Romance']","['Tiv', 'Takeoka Hazuki']",0,0,0,2014-11-27,2017-03-27
Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka (May I Ask For One Final Thing?),7.42,1974,3508,2787,7050,45,4,28,Publishing,"['Action', 'Comedy', 'Romance']","['Hoonoki Sora', 'Ootori Nana']",2,0,0,2019-06-05,2023-12-11
Tongari Boushi no Kitchen (Witch Hat Atelier Kitchen),7.42,341,3509,8562,2030,14,4,28,Publishing,"['Comedy', 'Fantasy', 'Gourmet', 'Slice of Life']",['Satou Hiromi'],2,0,0,2019-11-22,2023-12-11
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... Zettai Zetsumei! Hametsu Sunzen-hen (My Next Life as a Villainess Side Story: On the Verge of Doom!),7.42,1430,3510,4769,4026,29,3,21,Finished,"['Comedy', 'Drama', 'Fantasy', 'Romance']",['nishi'],3,0,0,2019-11-01,2021-07-02
Furyou Taimashi Reina (Bad Girl-Exorcist Reina),7.42,2004,3512,2713,7227,44,6,78,Finished,"['Comedy', 'Supernatural']",['OTOSAMA'],3,0,0,2018-10-23,2021-10-19
Ame to Kimi to (With You and the Rain),7.42,1189,3513,3743,5248,33,4,28,Publishing,"['Comedy', 'Slice of Life']",['Nikaidou Kou'],2,0,0,2020-08-17,2023-12-11
Worst Gaiden: Zetton-sensei (Worst Gaiden: Mr. Zetton),7.42,256,3514,16443,806,3,4,28,Publishing,"['Action', 'Comedy', 'Drama']","['Suzuki Dai', 'Yamamoto Shintarou']",1,0,0,2020-07-06,2023-12-11
Yakusoku no Neverland: Tokubetsu Bangai-hen - Haha no Ketsui (The Promised Neverland: Special Side Story - A Mother's Determination),7.42,1936,3515,5262,3607,6,4,1,Finished,"['Horror', 'Mystery', 'Sci-Fi']","['Demizu Posuka', 'Shirai Kaiu']",1,0,0,2020-12-14,2023-12-11
YoRHa: Shinjuwan Kouka Sakusen Kiroku (YoRHa: Pearl Harbor Descent Record),7.42,424,3516,7790,2293,26,4,28,Publishing,"['Action', 'Sci-Fi']","['Soramichi Megumu', 'Yoko Taro']",0,0,0,2020-12-26,2023-12-11
