Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
"Kaette Kudasai! Akutsu-sanPlease Go Home, Miss Akutsu!",7.40,15281,3731,380,"42,774",737,Unknown,Unknown,Publishing,"Jul  29, 2019 to ?",[],[],"Nagaoka, Taichi (Story & Art)",14,"[7, 5, 2]"
Blooming Sequence,7.40,434,3732,14591,971,22,Unknown,77,Finished,"Aug  7, 2017 to Jan  14, 2019",[],[],Lee Eul (Story & Art),2,"[1, 1, 0]"
Bishounen SeriesPretty Boy Detective Club,7.40,172,3733,11246,"1,411",28,12,Unknown,Finished,"Oct  20, 2015 to May  14, 2021",[],"['School', 'Visual Arts']","NISIO, ISIN (Story), Kinako (Art)",0,"[0, 0, 0]"
Sword Art Online: Progressive - Houei no BarcarolleSword Art Online: Progressive - Barcarolle of Froth,7.40,694,3734,9571,"1,756",7,2,17,Finished,"Apr  28, 2018 to Oct  30, 2019","['Action', 'Fantasy', 'Romance']",[],"Kawahara, Reki (Story), Miyoshi, Shiomi (Art)",1,"[0, 1, 0]"
"Ima, Koi wo Shiteimasu.Ima Koi: Now I'm in Love",7.40,1284,3735,3262,"6,068",73,Unknown,Unknown,Publishing,"Dec  13, 2019 to ?",[],[],"Hatta, Ayuko (Story & Art)",3,"[2, 0, 1]"
"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)There's No Freaking Way I'll be Your Lover! Unless...",7.40,1667,3736,3003,"6,550",113,Unknown,Unknown,Publishing,"May  15, 2020 to ?","['Comedy', 'Girls Love']",[],"Mikami, Teren (Story), Musshu (Art)",5,"[2, 1, 2]"
Honnou SwitchChanges of Heart,7.40,1894,3737,2852,"6,850",42,8,35,Finished,"Jun  1, 2018 to Oct  1, 2021","['Drama', 'Romance']",[],KUJIRA (Story & Art),2,"[1, 1, 0]"
Bungou Stray Dogs Koushiki Anthology: RinBungou Stray Dogs Official Anthology: Rin,7.40,182,3738,12456,"1,229",12,1,15,Finished,"Mar  10, 2018","['Action', 'Comedy', 'Slice of Life', 'Supernatural']",[],"Kino, Hinoki (Story & Art), Sakura, Roku (Story & Art), Hideki (Story & Art), Haru, Sakurana (Story & Art), Hirahara, Akira (Story & Art), Kanai, Neco (Story & Art), togekinoko (Story & Art), Nanora (Story & Art), Oosawa, Keiga (Story & Art)",0,"[0, 0, 0]"
Asahina Wakaba to ○○ na Kareshi,7.40,214,3739,20313,560,7,2,11,Finished,"Sep  25, 2019 to Dec  25, 2019","['Comedy', 'Drama', 'Romance']",[],"Hazama, Takashi (Story), Momomochi (Art)",2,"[2, 0, 0]"
"Re:Zero kara Hajimeru Isekai Seikatsu: Hyouketsu no KizunaRe:ZERO -Starting Life in Another World-, The Frozen Bond",7.40,232,3740,13642,"1,075",4,3,15,Finished,"Apr  26, 2020 to Jul  11, 2021",[],[],"Nagatsuki, Tappei (Story), Tsukahara, Minori (Art)",0,"[0, 0, 0]"
Hatsukoi MazeFirst Love Maze,7.40,1246,3741,5058,"3,764",47,5,32,Finished,"Dec  4, 2020 to Jul  5, 2022",[],[],"Yuzuki, Komugi (Story & Art)",1,"[1, 0, 0]"
Nisemonogatari Short Stories,7.40,427,3657,11185,"1,420",5,Unknown,4,Finished,"Sep  27, 2012","['Comedy', 'Romance', 'Supernatural']",[],"NISIO, ISIN (Story)",0,"[0, 0, 0]"
